SAE,position,feature,attribution
blocks.0.hook_resid_post,9,1577,0.44564253
blocks.0.hook_resid_post,0,8920,0.26349005
blocks.0.hook_resid_post,11,11393,0.15906323
blocks.0.hook_resid_post,10,4725,0.105644636
blocks.0.hook_resid_post,0,12838,0.09751164
blocks.0.hook_resid_post,41,16300,0.09739148
blocks.0.hook_resid_post,9,8775,0.09712523
blocks.0.hook_resid_post,0,10006,0.090722874
blocks.0.hook_resid_post,42,8685,0.0904224
blocks.0.hook_resid_post,37,11393,0.084733605
blocks.5.hook_resid_post,0,1059,0.33676234
blocks.5.hook_resid_post,0,12448,0.2059202
blocks.5.hook_resid_post,9,8770,0.19807616
blocks.5.hook_resid_post,24,15584,0.17955068
blocks.5.hook_resid_post,38,6911,0.17221048
blocks.5.hook_resid_post,43,15577,0.16989532
blocks.5.hook_resid_post,43,11282,0.1387685
blocks.5.hook_resid_post,9,11054,0.110664375
blocks.5.hook_resid_post,43,1370,0.109925024
blocks.5.hook_resid_post,32,1375,0.10879128
blocks.10.hook_resid_post,0,2843,0.22991376
blocks.10.hook_resid_post,43,5418,0.15083009
blocks.10.hook_resid_post,0,5715,0.14301302
blocks.10.hook_resid_post,0,13621,0.12891775
blocks.10.hook_resid_post,0,4494,0.1261722
blocks.10.hook_resid_post,0,5376,0.111026615
blocks.10.hook_resid_post,32,3628,0.10686909
blocks.10.hook_resid_post,32,14886,0.10482256
blocks.10.hook_resid_post,0,11114,0.10303824
blocks.10.hook_resid_post,30,12100,0.10274657
blocks.15.hook_resid_post,0,16182,0.24396141
blocks.15.hook_resid_post,43,11510,0.22299704
blocks.15.hook_resid_post,43,1695,0.17792521
blocks.15.hook_resid_post,0,5311,0.12780143
blocks.15.hook_resid_post,43,10716,0.12130909
blocks.15.hook_resid_post,43,2487,0.11996002
blocks.15.hook_resid_post,0,12602,0.1069561
blocks.15.hook_resid_post,43,16304,0.10475532
blocks.15.hook_resid_post,0,3939,0.10102978
blocks.15.hook_resid_post,0,15217,0.10078691
blocks.20.hook_resid_post,0,6631,0.9607687
blocks.20.hook_resid_post,43,6631,0.40371817
blocks.20.hook_resid_post,0,3518,0.30162832
blocks.20.hook_resid_post,0,15415,0.2701686
blocks.20.hook_resid_post,43,5547,0.2665192
blocks.20.hook_resid_post,0,8000,0.24017608
blocks.20.hook_resid_post,43,3848,0.22232014
blocks.20.hook_resid_post,43,9768,0.22212842
blocks.20.hook_resid_post,0,8994,0.21441086
blocks.20.hook_resid_post,0,4669,0.21064311
